HS10,short_desc,long_desc,quantity_1,quantity_2,sitc,end_use,usda,naics,hitech,HS6,HS8
0101210010,"HORSES, LIVE, PUREBRED BREEDING MALE","HORSES, LIVE, PUREBRED BREEDING MALE",NO,,00150,12060,0,112920,0,010121,01012100
0101210020,"HORSES, LIVE, PUREBRED BREEDING FEMALE","HORSES, LIVE, PUREBRED BREEDING FEMALE",NO,,00150,12060,0,112920,0,010121,01012100
0101290010,"HORSES, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER","HORSES, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER",NO,,00150,100,0,112920,0,010129,01012900
0101290090,"HORSES, LIVE, NESOI","HORSES, LIVE, NESOI",NO,,00150,12060,0,112920,0,010129,01012900
0101300000,"ASSES, LIVE","ASSES, LIVE",NO,,00150,12060,0,112920,0,010130,01013000
0101903000,"MULES AND HINNIES, FOR IMMEDIATE SLAUGHTER, LIVE","MULES AND HINNIES, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE",NO,,00150,100,0,112920,0,010190,01019030
0101904000,"MULES AND HINNIES, LIVE, NESOI","MULES AND HINNIES, LIVE, NESOI",NO,,00150,12060,0,112920,0,010190,01019040
0102210010,"CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY","CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY",NO,,00111,12060,0,11211X,0,010221,01022100
0102210020,"CATTLE, LIVE, PUREBRED BREEDING FEMALE, DAIRY","CATTLE, LIVE, PUREBRED BREEDING FEMALE, DAIRY",NO,,00111,12060,0,11211X,0,010221,01022100
0102210030,"CATTLE, PUREBRED BREEDING, MALE, LIVE, EXC DAIRY","CATTLE, PUREBRED BREEDING, MALE, LIVE, EXCEPT DAIRY",NO,,00111,12060,0,11211X,0,010221,01022100
0102210050,"CATTLE, LIVE, PUREBRED BREEDING FEMALE, EXC DAIRY","CATTLE, LIVE, PUREBRED BREEDING FEMALE, EXCEPT DAIRY",NO,,00111,12060,0,11211X,0,010221,01022100
0102292011,"CATTLE, LIVE, DAIRY, LT 90 KG EA, NESOI","CATTLE, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING LESS THAN 90 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",NO,KG,00119,12060,0,11211X,0,010229,01022920
0102292012,"CATTLE, LIVE, DAIRY, GT=90 KG EA, NESOI","CATTLE, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING 90 KG OR MORE EACH, LIVE, EXCEPT PUREBRED BREEDING",NO,KG,00119,12060,0,11211X,0,010229,01022920
0102294024,"CATTLE, LIVE, MALE, WEIGHING LT 90 KG EA, NESOI","CATTLE, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",NO,KG,00119,100,0,11211X,0,010229,01022940
0102294028,"CATTLE, LIVE, FEMALE, WEIGHING LT 90 KG EA, NESOI","CATTLE, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",NO,KG,00119,100,0,11211X,0,010229,01022940
0102294034,"CATTLE, LIVE, MALE, 90 KG TO LT 200 KG EA, NESOI","CATTLE, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",NO,KG,00119,100,0,11211X,0,010229,01022940
0102294038,"CATTLE, LIVE, FEMALE, 90 KG TO LT 200 KG, NESOI","CATTLE, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",NO,KG,00119,100,0,11211X,0,010229,01022940
0102294054,"CATTLE, LIVE, MALE, 200 KG TO LT 320 KG EA, NESOI","CATTLE, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",NO,KG,00119,100,0,11211X,0,010229,01022940
0102294058,"CATTLE, LIVE, FEMALE, 200 KG TO LT 320 KG, NESOI","CATTLE, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",NO,KG,00119,100,0,11211X,0,010229,01022940
0102294062,"STEERS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG, NESOI","STEERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",NO,KG,00119,100,0,11211X,0,010229,01022940
