HS10,naics,associated_naics,long_desc,naics_descriptions
0101210010,112920,[],"HORSES, LIVE, PUREBRED BREEDING MALE",HORSES AND OTHER EQUINE
0101210020,112920,[],"HORSES, LIVE, PUREBRED BREEDING FEMALE",HORSES AND OTHER EQUINE
0101290090,112920,[],"HORSES, LIVE, NESOI",HORSES AND OTHER EQUINE
0101300000,112920,[],"ASSES, LIVE",HORSES AND OTHER EQUINE
0102210010,11211X,[],"CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY",Description not found for NAICS 11211X
0102210020,11211X,[],"CATTLE, LIVE, PUREBRED BREEDING FEMALE, DAIRY",Description not found for NAICS 11211X
0102210030,11211X,[],"CATTLE, PUREBRED BREEDING, MALE, LIVE, EXCEPT DAIRY",Description not found for NAICS 11211X
0102210050,11211X,[],"CATTLE, LIVE, PUREBRED BREEDING FEMALE, EXCEPT DAIRY",Description not found for NAICS 11211X
0102292011,11211X,[],"CATTLE, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING LESS THAN 90 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",Description not found for NAICS 11211X
0102292012,11211X,[],"CATTLE, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING 90 KG OR MORE EACH, LIVE, EXCEPT PUREBRED BREEDING",Description not found for NAICS 11211X
0102294024,11211X,[],"CATTLE, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",Description not found for NAICS 11211X
0102294028,11211X,[],"CATTLE, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",Description not found for NAICS 11211X
0102294034,11211X,[],"CATTLE, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",Description not found for NAICS 11211X
0102294038,11211X,[],"CATTLE, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",Description not found for NAICS 11211X
0102294054,11211X,[],"CATTLE, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",Description not found for NAICS 11211X
0102294058,11211X,[],"CATTLE, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",Description not found for NAICS 11211X
0102294062,11211X,[],"STEERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",Description not found for NAICS 11211X
0102294064,11211X,[],"BULLS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",Description not found for NAICS 11211X
0102294066,11211X,[],"COWS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",Description not found for NAICS 11211X
0102294068,11211X,[],"HEIFERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",Description not found for NAICS 11211X
0102294072,11211X,[],"CATTLE, LIVE, MALE IMPORTED FOR BREEDING, WEIGHING 320 KG OR MORE EACH, NESOI",Description not found for NAICS 11211X
0102294074,11211X,[],"CATTLE, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI",Description not found for NAICS 11211X
0102294082,11211X,[],"CATTLE, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI",Description not found for NAICS 11211X
0102294084,11211X,[],"CATTLE, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI",Description not found for NAICS 11211X
0102390010,112990,[],"BISON, LIVE",ALL OTHER LIVE ANIMALS
0102390054,11211X,[],"BUFFALO, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON",Description not found for NAICS 11211X
0102390058,11211X,[],"BUFFALO, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON",Description not found for NAICS 11211X
0102900000,11211X,[],"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO",Description not found for NAICS 11211X
0103100000,112210,[],"SWINE, PUREBRED BREEDING, LIVE",SWINE
0103910010,112210,[],"SWINE, WEIGHING LESS THAN 7 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",SWINE
0103910020,112210,[],"SWINE, WEIGHING 7 KG OR MORE BUT LESS THAN 23 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",SWINE
0103910030,112210,[],"SWINE, WEIGHING 23 KG OR MORE BUT LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",SWINE
0103920010,112210,[],"SWINE, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 50 KG OR MORE EACH, EXCEPT PUREBRED BREEDING",SWINE
0103920020,112210,[],"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, BREEDING, EXCEPT PUREBRED, IMMEDIATE SLAUGHTER",SWINE
0103920091,112210,[],"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, EXCEPT IMMEDIATE SLAUGHTER, PUREBRED BREEDING, BREEDING",SWINE
0104100000,112410,[],"SHEEP, LIVE",SHEEP AND WOOL
0105110010,1123XX,[],"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, LAYER-TYPE (EGG-TYPE)",POULTRY AND EGGS
0105110040,1123XX,[],"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, EXCEPT BREEDING STOCK",POULTRY AND EGGS
0105120000,1123XX,[],"TURKEYS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",POULTRY AND EGGS
0105130000,1123XX,[],"DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",POULTRY AND EGGS
0105140000,1123XX,[],"GEESE, LIVE, WEIGHING NOT MORE THAN 185 G EACH",POULTRY AND EGGS
0105940000,1123XX,[],"CHICKENS, LIVE, WEIGHING 185 G OR MORE EACH",POULTRY AND EGGS
0105990000,1123XX,[],"POULTRY, LIVE, WEIGHING 185 G OR MORE EACH, NESOI",POULTRY AND EGGS
0106110000,112990,[],"PRIMATES, LIVE",ALL OTHER LIVE ANIMALS
0106130000,112990,[],"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE",ALL OTHER LIVE ANIMALS
0106140000,112930,[],"RABBITS AND HARES, LIVE","RABBITS, FOXES, FURSKINS, AND CUTTINGS"
0106193000,112930,[],"FOXES, LIVE","RABBITS, FOXES, FURSKINS, AND CUTTINGS"
0106199120,112990,[],"DOGS, LIVE",ALL OTHER LIVE ANIMALS
0106199195,112990,[],"MAMMALS, LIVE, NESOI",ALL OTHER LIVE ANIMALS
