I_COMMODITY,I_COMMODITY_LDESC
0101210010,"HORSES, LIVE, PUREBRED BREEDING MALE"
0101210020,"HORSES, LIVE, PUREBRED BREEDING FEMALE"
0101290010,"HORSES, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER"
0101290090,"HORSES, LIVE, NESOI"
0101300000,"ASSES, LIVE"
0101904000,"MULES AND HINNIES, LIVE, NESOI"
0102210010,"CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY"
0102210020,"CATTLE, LIVE, PUREBRED BREEDING FEMALE, DAIRY"
0102210030,"CATTLE, PUREBRED BREEDING, MALE, LIVE, EXCEPT DAIRY"
0102210050,"CATTLE, LIVE, PUREBRED BREEDING FEMALE, EXCEPT DAIRY"
0102292011,"CATTLE, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING LESS THAN 90 KG EACH, LIVE, EXCEPT PUREBRED BREEDING"
0102292012,"CATTLE, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING 90 KG OR MORE EACH, LIVE, EXCEPT PUREBRED BREEDING"
0102294024,"CATTLE, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY"
0102294028,"CATTLE, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY"
0102294034,"CATTLE, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY"
0102294038,"CATTLE, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY"
0102294054,"CATTLE, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY"
0102294058,"CATTLE, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY"
0102294062,"STEERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI"
0102294064,"BULLS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI"
0102294066,"COWS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI"
0102294068,"HEIFERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI"
0102294072,"CATTLE, LIVE, MALE IMPORTED FOR BREEDING, WEIGHING 320 KG OR MORE EACH, NESOI"
0102294074,"CATTLE, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI"
0102294082,"CATTLE, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI"
0102294084,"CATTLE, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI"
0102310010,"BUFFALO, LIVE, PUREBRED BREEDING, MALE, EXCEPT DAIRY"
0102310020,"BUFFALO, LIVE, PUREBRED BREEDING, FEMALE, EXCEPT DAIRY"
0102390010,"BISON, LIVE"
0102390054,"BUFFALO, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON"
0102390058,"BUFFALO, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON"
0102900000,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO"
0103100000,"SWINE, PUREBRED BREEDING, LIVE"
0103910010,"SWINE, WEIGHING LESS THAN 7 KG EACH, LIVE, EXCEPT PUREBRED BREEDING"
0103910020,"SWINE, WEIGHING 7 KG OR MORE BUT LESS THAN 23 KG EACH, LIVE, EXCEPT PUREBRED BREEDING"
0103910030,"SWINE, WEIGHING 23 KG OR MORE BUT LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING"
0103920010,"SWINE, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 50 KG OR MORE EACH, EXCEPT PUREBRED BREEDING"
0103920020,"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, BREEDING, EXCEPT PUREBRED, IMMEDIATE SLAUGHTER"
0103920091,"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, EXCEPT IMMEDIATE SLAUGHTER, PUREBRED BREEDING, BREEDING"
0104100000,"SHEEP, LIVE"
0105110010,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, LAYER-TYPE (EGG-TYPE)"
0105110020,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, BROILER-TYPE (MEAT-TYPE)"
0105110040,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, EXCEPT BREEDING STOCK"
