E_COMMODITY,E_COMMODITY_LDESC
101210000,"HORSES, PUREBRED BREEDING, LIVE"
101290000,"HORSES, LIVE, EXCEPT PUREBRED BREEDING"
101900000,"MULES AND HINNIES, LIVE"
102290000,"CATTLE, LIVE, OTHER THAN PUREBRED BREEDING ANIMALS"
102310000,"BUFFALO, LIVE, PUREBRED BREEDING"
102390000,"BUFFALO, LIVE, NESOI"
102900002,"BOVINES, LIVE, NESOI"
103910000,"SWINE, LT 50 KG EA, LIVE, EXC PUREBRED BREEDING"
103920000,"SWINE, LIVE, GT=50KG EA, EXC PUREBRED BREEDING"
104200000,"GOATS, LIVE"
105150000,"GUINEA FOWLS, LIVE, LT= 185 G EACH"
106199100,"MAMMALS, LIVE, NESOI"
106490000,"INSECTS, LIVE, NESOI"
106900100,"ANIMALS, LIVE, NESOI"
201100010,"CARCASSES/HALF-CARCASSES OF VEAL, FRESH OR CHILLED"
201100090,"CARCASSES/HALF-CARCASSES OF BOVINES, FR/CH, NESOI"
201203550,"MEAT OF BOVINES, W ITH BONE, PROCESSED, FR/CH"
201206000,"MEAT OF BOVINES, WITH BONE, FR/CH, EXC PROCESSED"
201303550,"MEAT OF BOVINES, BONELESS, PROCESSED, FR/CH"
201306000,"MEAT OF BOVINES, BONELESS, FR/CH, EXC PROCESSED"
201306010,"BISON MEAT, BONELESS, FR/CH, EXC PROCESSED"
201306090,"MEAT OF BOVINES, BONELESS, FR/CH, NESOI"
202100010,"CARCASSES AND HALF-CARCASSES OF VEAL, FROZEN"
202100090,"CARCASSES/HALF-CARCASSES OF BOVINES, FROZEN, NESOI"
202203550,"MEAT OF BOVINES, W/ BONE, PROCESSED, FROZEN"
202206000,"MEAT OF BOVINES, W/ BONE, FROZEN, EXC PROCESSED"
202303550,"MEAT OF BOVINES, BONELESS, PROCESSED, FROZEN"
202306000,"MEAT OF BOVINES, BONELESS, FROZEN, EXC PROCESSED"
203121000,"HAMS, SHOULDERS & CUTS SWINE, W/BONE PROCESD FR/CH"
203129000,HAMS SHOULDERS CUTS SWINE W/BONE FR/CH EXC PROCESD
203192000,"MEAT OF SWINE, PROCESSED, FRESH OR CHILLED, NESOI"
203194000,"MEAT OF SWINE, FRESH OR CHILLED, NESOI EXC PROCESD"
204220000,"MEAT OF SHEEP, WITH BONE IN, FRESH OR CHILLED"
204230000,"MEAT OF SHEEP, BONELESS, FRESH OR CHILLED"
204420000,"MEAT OF SHEEP, WITH BONE, FROZEN, NESOI"
204430000,"MEAT OF SHEEP, BONELESS, FROZEN, NESOI"
206290010,"HEARTS OF BOVINES, EDIBLE, FROZEN"
206290020,"KIDNEYS OF BOVINES, EDIBLE, FROZEN"
206290030,"BRAINS OF BOVINES, EDIBLE, FROZEN"
